employee_id,username,password,email,isAdmin,department,team,timeSpent,gender
1,ywu,4N5+WJQz+t,samanthaperkins@example.net,True,Data Management,Infrastructure Team,86049,Male
2,jennifer27,$6lGw49FVq,wevans@example.net,True,Software Development,Technical Support Team,56812,Female
3,vedwards,r2Al7Ob1(&,matthew60@example.net,False,Cloud Services,User Experience (UX) Team,79179,Male
4,gonzalessabrina,U(5L0CfZ0*,melissa00@example.net,True,IT Support,DevOps Team,63847,Male
5,jessica89,+s3KPv#Edz,tonya60@example.org,False,Software Development,User Experience (UX) Team,10197,Male
6,denise90,O&M1Qn1Vio,eanderson@example.org,False,Software Development,User Experience (UX) Team,77159,Female
7,jennifer04,$5X_J4Kl*v,ddavidson@example.com,False,Cybersecurity,Quality Assurance (QA) Team,92601,Male
8,tracykelly,16Or2Ibd*_,hayesmelissa@example.com,True,Cybersecurity,Infrastructure Team,72228,Female
9,michaelhernandez,zP2LMSjo&$,ianharris@example.net,False,Data Management,Technical Support Team,44318,Male
10,hamptonmary,cvdd)3MqxI,david49@example.com,False,Data Management,DevOps Team,51102,Male
11,johnsonleonard,TE44QsIY!(,robertmorris@example.com,False,IT Support,Data Analytics Team,91451,Female
12,newing,oCIun6Tj*l,revans@example.net,False,Data Management,User Experience (UX) Team,42581,Male
13,herrerajacob,H5@Mw$di*H,vegatammy@example.org,True,Data Management,User Experience (UX) Team,57163,Male
14,zacharylee,u*2S^n29O%,julia44@example.com,False,Network Administration,User Experience (UX) Team,54195,Female
15,leslie54,I!Q3MMFo!v,gloverjason@example.org,False,Software Development,Infrastructure Team,944,Female
16,jamesbradford,+!OC7ymk7Q,jacksontravis@example.net,False,Network Administration,Infrastructure Team,87580,Male
17,woodspatricia,P_O_8Ijj!U,turnerkatherine@example.com,False,Network Administration,User Experience (UX) Team,67030,Male
18,charlenejacobs,m*j$Pi%w$3,meganlopez@example.net,False,Cybersecurity,Data Analytics Team,31073,Female
19,james75,!G77QUyzTL,vargasjill@example.org,True,Network Administration,Infrastructure Team,60894,Female
20,rickygarcia,GSn%U4Ae1r,edgarhernandez@example.com,False,Data Management,DevOps Team,84940,Female
21,joshua14,NjV9YDko_$,kathleen86@example.com,True,Data Management,Quality Assurance (QA) Team,74223,Female
22,dustin00,^J5NEAzp%!,isaiah96@example.com,False,Cloud Services,DevOps Team,51571,Male
23,hhodges,EtG)$gVb)3,joneschad@example.com,False,Network Administration,Quality Assurance (QA) Team,86001,Male
24,gwendolynfields,+4It^dz4FN,hernandezkatherine@example.net,False,Network Administration,Quality Assurance (QA) Team,84952,Female
25,scott93,%oVrOkeY3z,cynthiaosborne@example.net,False,Data Management,Quality Assurance (QA) Team,71183,Male
26,jhill,VJB0*OJp7^,bethany49@example.net,False,Software Development,DevOps Team,49762,Male
27,slee,y98n**BvS*,ugray@example.com,False,Network Administration,Technical Support Team,20077,Female
28,vross,1NH5lpvfN_,joannphillips@example.net,False,Software Development,Data Analytics Team,46426,Male
29,msparks,!72@Aw$N!h,nancy39@example.net,False,Cybersecurity,Data Analytics Team,96587,Male
30,alexandergary,^6Dzjhb5&o,marcusellis@example.com,False,Network Administration,Data Analytics Team,34843,Female
31,brianamartin,%v8J0v!bQ%,omurillo@example.com,False,IT Support,Infrastructure Team,29667,Female
32,weaverronald,!_EC!Cyl12,zmoreno@example.com,False,Network Administration,Infrastructure Team,96507,Male
33,lawsoncrystal,%8bXHk^_Ri,erobinson@example.net,False,IT Support,Technical Support Team,39990,Female
34,kylemiller,_v*1yASc(Q,mmorales@example.org,False,Network Administration,User Experience (UX) Team,28197,Female
35,urobertson,$7aECRo2JI,bauersteven@example.net,False,Network Administration,User Experience (UX) Team,24651,Female
36,igoodwin,Ri!q2MWfjv,sarahcarlson@example.org,False,IT Support,User Experience (UX) Team,31538,Male
37,moranedwin,@mBWpBim)9,miranda60@example.org,False,IT Support,Infrastructure Team,42733,Male
38,lorrainesullivan,!542now+mZ,laura16@example.org,False,Network Administration,Data Analytics Team,93916,Female
39,kimberly68,%xYox3!Ws0,cstafford@example.net,True,Network Administration,Technical Support Team,11930,Male
40,amanda58,f_5ZDpjg_U,khernandez@example.net,False,Data Management,Infrastructure Team,38586,Female
41,reedwendy,)lH_7rdG!7,jmiller@example.org,False,Cloud Services,DevOps Team,24260,Male
42,ryansloan,B$0S%Jp1^t,jennifer56@example.com,False,Data Management,Infrastructure Team,96663,Female
43,lmartinez,(0FXkQQ3z7,jeremybailey@example.org,False,Network Administration,Quality Assurance (QA) Team,31095,Male
44,melissareed,2CFj3U#l_z,kimberlyfrazier@example.org,True,Cybersecurity,DevOps Team,58778,Female
45,jamesmonroe,uELYd5Asa%,miranda04@example.org,False,Network Administration,DevOps Team,53897,Female
46,charles05,^_5Q#PbCb&,ncunningham@example.net,False,Software Development,Infrastructure Team,20019,Male
